date,sentiment,type,year
2023-02-20,-0.019774525571563138,min,2023
2023-02-24,0.020731703186639198,max,2023
2023-02-26,-0.011500064407848957,min,2023
2023-03-01,0.012519230435870565,max,2023
2023-03-03,-0.02143609365289662,min,2023
2023-03-05,0.021614203198201815,max,2023
2023-03-09,-0.0165404131719097,min,2023
2023-03-17,0.08069793298230618,max,2023
2023-03-22,0.007813554596528847,min,2023
2023-03-29,0.08262758807545238,max,2023
2023-04-03,0.10238915167471326,max,2023
2023-04-16,0.0011099330548601297,min,2023
2023-04-20,0.0009911250669487495,min,2023
2023-04-22,0.03704057251622411,max,2023
2023-05-01,-0.016231689355304377,min,2023
2023-05-07,0.03140633222111405,max,2023
2023-05-10,0.0047052353477203,min,2023
2023-05-13,0.04044423342047395,max,2023
2023-05-17,0.041479933073137944,max,2023
2023-05-20,0.011429901009843979,min,2023
2023-05-24,0.025068227379518502,max,2023
2023-06-06,-0.04129927783274653,min,2023
2023-06-15,0.014951450765153853,max,2023
2023-06-19,-0.02823911227802218,min,2023
2023-06-27,0.10736076605053065,max,2023
2023-07-06,-0.05332453759764636,min,2023
2023-07-13,0.042931812845067384,max,2023
2023-07-21,-0.06561804306699817,min,2023
2023-07-31,0.008211559630314735,max,2023
2023-08-10,-0.0936340687732083,min,2023
2023-08-16,-0.018320126989503773,max,2023
2023-08-19,-0.044695868664255824,min,2023
2023-08-26,0.14463832099589777,max,2023
2023-09-02,-0.040114096949060096,min,2023
2023-09-05,-0.025382939544614035,max,2023
2023-09-06,-0.041927011900122345,min,2023
2023-09-13,0.009099968004568451,max,2023
2023-09-20,-0.07824981407575345,min,2023
2023-09-25,-0.030327848399604146,max,2023
2023-10-02,-0.12060749791535737,min,2023
2023-10-19,0.05765685554751133,max,2023
2023-11-02,0.05930849648564908,max,2023
2023-11-24,-0.07329242660069969,min,2023
2023-12-01,-0.04402781268465668,max,2023
2023-12-04,-0.07937531552306841,min,2023
2023-12-16,0.05311860349599657,max,2023
2023-12-29,-0.054426366445120423,min,2023
2024-01-04,-0.013361665331179122,max,2024
2024-01-16,-0.09673810682008825,min,2024
2024-01-26,0.07171724293721035,max,2024
2024-01-31,0.02392132362943285,min,2024
2024-02-08,0.06974128473439842,max,2024
2024-02-12,0.02388961140454903,min,2024
2024-02-17,0.04971538239779583,min,2024
2024-02-20,0.08797089697426104,max,2024
2024-02-23,0.006673387551691277,min,2024
2024-02-27,0.0066630995033371,min,2024
2024-03-03,0.05135021012546188,max,2024
2024-03-07,-0.024792311110801435,min,2024
2024-03-19,0.09100889537727921,max,2024
2024-03-23,0.09238430098706722,max,2024
2024-04-06,-0.030082797109310073,min,2024
2024-04-18,0.036593163518149834,max,2024
2024-05-07,-0.07620886325227104,min,2024
2024-05-15,-0.029340871744588597,max,2024
2024-05-22,-0.029272453288268354,max,2024
2024-05-30,-0.07191246061734469,min,2024
2024-06-19,0.10133115453652596,max,2024
2024-07-11,0.013785533376156902,min,2024
2024-07-20,0.06404877497560983,max,2024
2024-08-13,-0.02384497490758495,min,2024
2024-08-17,-0.02675230535503633,min,2024
2024-08-29,-0.06446979560522186,min,2024
2024-09-09,0.009846952295683017,max,2024
2024-09-11,-0.04272519750543289,min,2024
2024-11-05,0.08924750158681434,max,2024
2024-11-18,-0.055507569562122494,min,2024
2024-11-20,-0.018811500450078004,max,2024
2024-11-24,-0.004890128114522968,max,2024
2024-11-26,-0.02570831710543536,min,2024
2024-12-04,-0.0047883023501480515,min,2024
2024-12-09,0.02633655174720112,max,2024
2024-12-17,0.0023988754848259866,min,2024
2024-12-24,0.0764789154371717,max,2024
2025-01-25,-0.02466335941430637,min,2025
2025-01-28,0.060267083334432585,max,2025
2025-02-11,0.04321655985124308,max,2025
2025-02-19,-0.07973374977041144,min,2025
2025-03-01,-0.061089658358548085,min,2025
2025-04-01,0.13803393674525374,max,2025
2025-04-20,-0.012639536171615312,min,2025
2025-04-25,0.02411160527384982,max,2025
2025-05-07,-0.0016882367197216307,min,2025
2025-05-11,0.027093348298029996,max,2025
2025-05-17,0.03651463829237256,max,2025
2025-05-21,0.002425032891193575,min,2025
2025-05-29,0.046901521465754395,max,2025
2025-06-04,-0.026888586047273715,min,2025
2025-07-04,0.037454390497865045,max,2025
2025-07-08,0.012433196880577082,min,2025
2025-07-10,0.03837125474034026,max,2025
2025-07-15,0.03985476596572043,max,2025
2025-07-22,-0.017028138830765944,min,2025
2025-08-04,0.07426728392033634,max,2025
2025-08-11,-0.03830081196011507,min,2025
2025-08-16,0.01744112606683635,max,2025
2025-08-17,0.005463101020742575,min,2025
2025-08-26,0.03815909567057305,max,2025
2025-08-31,0.026106660898488548,min,2025
2025-09-17,0.11936073532860152,max,2025
2025-10-09,-0.004192096197600011,min,2025
2025-10-15,0.03482762836553819,max,2025
2025-10-20,0.055847574318878636,max,2025
2025-10-24,0.010594693830862503,min,2025
2025-11-08,0.06010401452312376,max,2025
2025-11-21,-0.07605442708031594,min,2025
2025-11-23,-0.05013817414870162,max,2025
